Time,Fx
0,-0.463468559002561
8.79216288566853e-10,-0.463469828706143
1.75843257713371e-09,-0.463471165556559
2.63764886570056e-09,-0.463472502397373
1.14298117513691e-08,-0.463485869264278
2.02219746370376e-08,-0.463499234404997
2.90141375227062e-08,-0.463512597819817
1.16935766379392e-07,-0.463646081370029
2.04857395236077e-07,-0.463779393865484
2.92779024092762e-07,-0.463912532300613
1.17199531265962e-06,-0.465229073599265
2.05121160122647e-06,-0.466528912770859
2.93042788979332e-06,-0.467811946977092
1.17225907754619e-05,-0.479341414036162
2.05147536611304e-05,-0.489541433873387
2.93069165467989e-05,-0.498541387698908
7.40426351714619e-05,-0.532176765822541
0.000118778353796125,-0.549722280720358
0.000163514072420788,-0.558387130829563
0.000208249791045451,-0.562678972156642
0.000291608568303852,-0.565888226964521
0.000374967345562253,-0.56747512861396
0.000458326122820654,-0.568486874688504
0.00129191389540466,-0.573234941950169
0.00212550166798867,-0.57577407592024
0.00295908944057268,-0.577156373642341
0.00419608406247343,-0.578088655509524
0.00543307868437418,-0.578483726929205
0.00667007330627494,-0.57864617332087
0.01079607669908,-0.578256222683732
0.014922080091885,-0.577934584865963
0.0190480834846901,-0.578582384992198
0.0518343140693694,-0.578759579031307
0.0846205446540488,-0.578588660940516
0.117406775238728,-0.578750014410079
0.177406775238728,-0.578756169004879
0.237406775238728,-0.578748538489215
0.297406775238728,-0.578756387105908
0.357406775238728,-0.578756217277376
0.417406775238728,-0.578756051550222
0.477406775238728,-0.578756272254383
0.537406775238728,-0.57875626873205
0.597406775238728,-0.578756263570901
0.657406775238728,-0.578756270172529
0.717406775238728,-0.578756270031011
0.777406775238728,-0.578756269334346
0.837406775238728,-0.578756270156641
0.897406775238728,-0.57875627011289
0.957406775238728,-0.578756269570962
1.01740677523873,-0.578756269751642
1.07740677523873,-0.578756270166223
1.13740677523873,-0.578756269611208
1.19740677523873,-0.578756269909602
1.25740677523873,-0.578756269968721
1.31740677523873,-0.57875626932602
1.37740677523873,-0.578756270008843
1.43740677523873,-0.578756269339897
1.49740677523873,-0.578756269072056
1.55740677523873,-0.578756270016337
1.61740677523873,-0.578756269446062
1.67740677523873,-0.578756269830724
1.73740677523873,-0.57875627026038
1.79740677523873,-0.578756269275366
1.85740677523873,-0.578756269760815
1.91740677523873,-0.578756270143611
1.97740677523873,-0.578756269340591
2.03740677523873,-0.578756269482003
2.09740677523873,-0.578756269897663
2.15740677523873,-0.578756269568187
2.21740677523873,-0.57875626981214
2.27740677523873,-0.578756270173853
2.33740677523873,-0.57875626943843
2.39740677523873,-0.578756269464004
2.45740677523873,-0.578756270245963
2.51740677523873,-0.578756269978969
2.57740677523873,-0.578756270130657
2.63740677523873,-0.578756269922764
2.69740677523873,-0.578756269280917
2.75740677523873,-0.578756269425793
2.81740677523873,-0.578756269548616
2.87740677523873,-0.578756269314223
2.93740677523873,-0.578756269893157
2.99740677523873,-0.578756270245893
3,-0.578756269824926
