Time,Fx
0,-0.463468559002561
8.79216505760578e-10,-0.463489717983126
1.75843301152116e-09,-0.463510943881269
2.63764951728173e-09,-0.463532169491113
1.14298145748875e-08,-0.463744401653166
2.02219796324933e-08,-0.463956606613913
2.90141446900991e-08,-0.464168783828475
1.16935795266157e-07,-0.466288166677618
2.04857445842215e-07,-0.468404833625515
2.92779096418272e-07,-0.4705187367368
1.17199560217885e-06,-0.491422098800032
2.05121210793943e-06,-0.512060272609955
2.9304286137e-06,-0.532431626024216
1.17225936713058e-05,-0.722998819891022
2.05147587289116e-05,-0.890501961846499
2.93069237865173e-05,-1.03746185901897
3.80990888441231e-05,-1.1663620161476
8.051101425507e-05,-1.59120385447475
0.000122922939666017,-1.81601391439776
0.000157792855623094,-1.92812352261259
0.000192662771580171,-1.99951387840645
0.000227532687537248,-2.04396555025285
0.000262402603494325,-2.07184109869417
0.000297272519451402,-2.09030722161412
0.000375714084198836,-2.11703882241151
0.000454155648946271,-2.13482238587878
0.000532597213693706,-2.14613383576851
0.000611038778441141,-2.15415823374728
0.000689480343188575,-2.16247044496765
0.00076792190793601,-2.17158294742847
0.00090403877710446,-2.18583868197191
0.00104015564627291,-2.19796996653655
0.00117627251544136,-2.20850295480233
0.00131238938460981,-2.21800919033846
0.00144850625377826,-2.22657945014903
0.0018892001525683,-2.24809836020914
0.00232989405135834,-2.26257982243913
0.00277058795014839,-2.2724653709665
0.00321128184893843,-2.2792731295858
0.00365197574772848,-2.28391907827108
0.00446584577461666,-2.28876665630891
0.00527971580150484,-2.29115765551303
0.00609358582839302,-2.29101921461628
0.0069074558552812,-2.28846577903293
0.00772132588216938,-2.28836331067284
0.00954061313271445,-2.29315653222191
0.0113599003832595,-2.29380305447569
0.0131791876338046,-2.29225245893042
0.0149984748843497,-2.29068548968162
0.0196997019097285,-2.2935881442152
0.0244009289351072,-2.29374881101529
0.029102155960486,-2.29338083492514
0.0609103321844451,-2.29383234041347
0.0927185084084042,-2.29374627449749
0.124526684632363,-2.29373097240942
0.184526684632363,-2.29395227796033
0.244526684632363,-2.29388031381672
0.304526684632363,-2.29377193271402
0.364526684632363,-2.2937342266105
0.424526684632363,-2.29374493297146
0.484526684632363,-2.29376136185243
0.544526684632363,-2.29376757273009
0.604526684632363,-2.29376643635718
0.664526684632363,-2.29376401927536
0.724526684632363,-2.29376302294942
0.784526684632364,-2.29376317540002
0.844526684632364,-2.29376353910656
0.904526684632364,-2.29376369612531
0.964526684632364,-2.29376368163711
1.02452668463236,-2.29376363374834
1.08452668463236,-2.29376360909653
1.14452668463236,-2.29376360831931
1.20452668463236,-2.29376361601958
1.26452668463236,-2.29376361861706
1.32452668463236,-2.29376361899347
1.38452668463236,-2.29376361838909
1.44452668463236,-2.29376362023786
1.50452668463236,-2.29376361939662
1.56452668463236,-2.29376361872355
1.62452668463236,-2.29376361574954
1.68452668463236,-2.2937636148801
1.74452668463236,-2.29376361925306
1.80452668463236,-2.29376361781247
1.86452668463236,-2.29376361778633
1.92452668463236,-2.29376361778281
1.98452668463236,-2.29376361797432
2.04452668463236,-2.29376362035549
2.10452668463236,-2.29376362242228
2.16452668463236,-2.29376362066852
2.22452668463236,-2.29376361708597
2.28452668463236,-2.29376361593273
2.34452668463236,-2.293763619061
2.40452668463236,-2.29376361825309
2.46452668463236,-2.29376361925146
2.52452668463236,-2.2937636186382
2.58452668463236,-2.29376361658498
2.64452668463236,-2.29376361745236
2.70452668463237,-2.29376362167804
2.76452668463237,-2.2937636170256
2.82452668463237,-2.29376361526312
2.88452668463237,-2.29376361438188
2.94452668463237,-2.29376361371922
3,-2.29376361589336
